Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
"Population, total",SP.POP.TOTL,Nicaragua,NIC,4162559,5022633,6232666,6316231,6400080,6483657,6565267,6644741,6730654,6823613,6916140,..
"Population, total",SP.POP.TOTL,Niger,NER,8286059,11509630,20685753,21435446,22188069,22947757,23717613,24502140,25311973,26159867,27032412,..
"Population, total",SP.POP.TOTL,Nigeria,NGA,97120925,126382494,195443700,200254579,204938755,209485641,213996181,218529286,223150896,227882945,232679478,..
"Population, total",SP.POP.TOTL,North Macedonia,MKD,2063689,2026350,1906313,1898657,1889051,1876262,1856124,1837114,1831712,1827816,1824359,..
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,43342,68356,50773,49959,49077,48129,47528,46979,46078,45143,44278,..
"Population, total",SP.POP.TOTL,Norway,NOR,4241473,4490967,5234519,5276968,5311916,5347896,5379475,5408320,5457127,5519601,5572279,..
"Population, total",SP.POP.TOTL,Oman,OMN,1763954,2282131,4390877,4537396,4597877,4591241,4522497,4500424,4730226,5049269,5281538,..
"Population, total",SP.POP.TOTL,Pakistan,PAK,116155576,154879127,220138869,223273967,226928892,230800899,235001746,239477801,243700667,247504495,251269164,..
"Population, total",SP.POP.TOTL,Palau,PLW,15259,19178,17797,17812,17814,17798,17792,17783,17759,17727,17695,..
"Population, total",SP.POP.TOTL,Panama,PAN,2455583,3010369,4029086,4098707,4167860,4234700,4293261,4345405,4400773,4458759,4515577,..
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,3896481,5537064,8961718,9178714,9394513,9609010,9815746,10012896,10203169,10389635,10576502,..
"Population, total",SP.POP.TOTL,Paraguay,PRY,4035747,5100868,6249126,6338660,6427382,6515058,6603739,6684182,6760464,6844146,6929153,..
